clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path,transcript,n_keyframes,visual_ok,has_audio,has_text,has_visual,transcript,n_keyframes,visual_ok,has_audio,has_text,has_visual
-3g5yACwYnA_001,mosei_real,0,mosei_-3g5yACwYnA_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-3g5yACwYnA_001.mp4,data\preprocessed\features\z_at\-3g5yACwYnA_001.pt,data\preprocessed\features\z_v\-3g5yACwYnA_001.pt,"that we do, they've been able to find solutions or at least bring some answers to the table.",8,1,1,1,1,"that we do, they've been able to find solutions or at least bring some answers to the table.",8,1,1,1,1
-571d8cVauQ_000,mosei_real,0,mosei_-571d8cVauQ_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-571d8cVauQ_000.mp4,data\preprocessed\features\z_at\-571d8cVauQ_000.pt,data\preprocessed\features\z_v\-571d8cVauQ_000.pt,"This is Rhett Ryger, White Caspian Studios on behalf of Expert Village.",8,1,1,1,1,"This is Rhett Ryger, White Caspian Studios on behalf of Expert Village.",8,1,1,1,1
-571d8cVauQ_001,mosei_real,0,mosei_-571d8cVauQ_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-571d8cVauQ_001.mp4,data\preprocessed\features\z_at\-571d8cVauQ_001.pt,data\preprocessed\features\z_v\-571d8cVauQ_001.pt,"However, again, on a low budget film, there's not often money to pay a crew of people to go out and do this. Now ho-",8,1,1,1,1,"However, again, on a low budget film, there's not often money to pay a crew of people to go out and do this. Now ho-",8,1,1,1,1
-9YyBTjo1zo_000,mosei_real,0,mosei_-9YyBTjo1zo_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9YyBTjo1zo_000.mp4,data\preprocessed\features\z_at\-9YyBTjo1zo_000.pt,data\preprocessed\features\z_v\-9YyBTjo1zo_000.pt,even,8,1,1,1,1,even,8,1,1,1,1
-9YyBTjo1zo_001,mosei_real,0,mosei_-9YyBTjo1zo_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9YyBTjo1zo_001.mp4,data\preprocessed\features\z_at\-9YyBTjo1zo_001.pt,data\preprocessed\features\z_v\-9YyBTjo1zo_001.pt,Even as the Russian investigation reportedly nears its first possible indictment of,8,1,1,1,1,Even as the Russian investigation reportedly nears its first possible indictment of,8,1,1,1,1
-9y-fZ3swSY_000,mosei_real,0,mosei_-9y-fZ3swSY_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9y-fZ3swSY_000.mp4,data\preprocessed\features\z_at\-9y-fZ3swSY_000.pt,data\preprocessed\features\z_v\-9y-fZ3swSY_000.pt,"Hello, my name is Melda and today I will make life simple for all the guys.",8,1,1,1,1,"Hello, my name is Melda and today I will make life simple for all the guys.",8,1,1,1,1
-9y-fZ3swSY_001,mosei_real,0,mosei_-9y-fZ3swSY_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9y-fZ3swSY_001.mp4,data\preprocessed\features\z_at\-9y-fZ3swSY_001.pt,data\preprocessed\features\z_v\-9y-fZ3swSY_001.pt,"All the guys who are watching this video, how? Well, today I'm going to share all",8,1,1,1,1,"All the guys who are watching this video, how? Well, today I'm going to share all",8,1,1,1,1
-9y-fZ3swSY_002,mosei_real,0,mosei_-9y-fZ3swSY_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9y-fZ3swSY_002.mp4,data\preprocessed\features\z_at\-9y-fZ3swSY_002.pt,data\preprocessed\features\z_v\-9y-fZ3swSY_002.pt,Share all the phrases that you're not supposed to speak or say.,8,1,1,1,1,Share all the phrases that you're not supposed to speak or say.,8,1,1,1,1
-9y-fZ3swSY_003,mosei_real,0,mosei_-9y-fZ3swSY_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9y-fZ3swSY_003.mp4,data\preprocessed\features\z_at\-9y-fZ3swSY_003.pt,data\preprocessed\features\z_v\-9y-fZ3swSY_003.pt,"or ask to a lady. Okay, so let's get started.",8,1,1,1,1,"or ask to a lady. Okay, so let's get started.",8,1,1,1,1
-9y-fZ3swSY_005,mosei_real,0,mosei_-9y-fZ3swSY_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9y-fZ3swSY_005.mp4,data\preprocessed\features\z_at\-9y-fZ3swSY_005.pt,data\preprocessed\features\z_v\-9y-fZ3swSY_005.pt,The sudden thanks that you should never talk about when you're talking to a lady or a girl. The first...,8,1,1,1,1,The sudden thanks that you should never talk about when you're talking to a lady or a girl. The first...,8,1,1,1,1
-9y-fZ3swSY_006,mosei_real,0,mosei_-9y-fZ3swSY_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-9y-fZ3swSY_006.mp4,data\preprocessed\features\z_at\-9y-fZ3swSY_006.pt,data\preprocessed\features\z_v\-9y-fZ3swSY_006.pt,The first thing that I have for you is talking about weight. Now you might notice...,8,1,1,1,1,The first thing that I have for you is talking about weight. Now you might notice...,8,1,1,1,1
-Alixo7euuU_000,mosei_real,0,mosei_-Alixo7euuU_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-Alixo7euuU_000.mp4,data\preprocessed\features\z_at\-Alixo7euuU_000.pt,data\preprocessed\features\z_v\-Alixo7euuU_000.pt,What's going on? I want to do a video about the new guitar hero that I just got announced today. So the game is called Guitar Hero Live.,8,1,1,1,1,What's going on? I want to do a video about the new guitar hero that I just got announced today. So the game is called Guitar Hero Live.,8,1,1,1,1
